procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  4      0 11925952 108232 2985712    0    0    55   775 7661   53  8  7 73 12  0  0
10  4      0 11925608 108232 2987128    0    0     0     0 23420 116561 45 49  4  3  0  0
16  4      0 11930928 108232 2988560    0    0     0     0 25467 120996 46 48  5  1  0  0
10  4      0 11941940 108232 2990008    0    0     0     0 22939 119257 45 48  5  1  0  0
20  4      0 11943284 108232 2991588    0    0     0     0 24807 122800 44 50  5  1  0  0
12  4      0 11944968 108232 2993104    0    0     0     4 24659 125311 46 48  3  2  0  0
14  4      0 11946328 108232 2994548    0    0     0     0 25051 120616 45 47  4  3  1  0
10  4      0 11944956 108232 2996012    0    0     0     0 24182 118554 45 48  4  3  1  0
16  4      0 11946228 108244 2997328    0    0     0  1184 25012 121188 45 48  4  3  1  0
17  4      0 11946228 108244 2998580    0    0     0     0 25892 120451 44 48  5  3  1  0
14  6      0 11946228 108244 3000172    0    0     0 22380 27947 125111 46 48  4  3  0  0
14  4      0 11945780 108248 3001560    0    0     0  2800 25529 121074 43 50  4  3  0  0
11  4      0 11944380 108248 3003040    0    0     0  1844 27370 127645 44 50  1  5  0  0
11  4      0 11939732 108248 3004588    0    0     0     0 25828 122392 45 48  2  6  0  0
13  4      0 11936708 108248 3006024    0    0     0     0 25170 123844 46 49  1  4  0  0
14  4      0 11935056 108248 3007720    0    0     0     0 26986 126390 44 49  4  3  0  0
13  4      0 11933684 108248 3009144    0    0     0  1092 26085 122200 46 48  2  5  0  0
12  4      0 11949000 108248 2988112    0    0     0     0 23840 115312 49 45  4  2  0  0
 8  4      0 11948608 108248 2989584    0    0     0     0 27304 124103 46 47  4  3  0  0
12  4      0 11948300 108248 2990872    0    0     0     0 24352 113322 45 46  3  4  2  0
14  4      0 11947544 108248 2992524    0    0     0     0 24681 120158 44 50  5  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  4      0 11946788 108248 2993772    0    0     0     0 25526 119782 45 48  5  1  1  0
14  4      0 11946032 108248 2995364    0    0     0     0 26350 123580 45 48  4  2  1  0
10  4      0 11945780 108248 2996792    0    0     0     0 24889 115060 44 48  5  2  1  0
12  4      0 11943596 108248 2998184    0    0     0     0 26229 122749 45 48  4  2  2  0
19  4      0 11917248 108248 2999760    0    0     0   656 26477 126673 46 48  4  1  0  0
16  4      0 11913328 108248 3001212    0    0     0     8 24502 120288 44 48  5  2  1  0
12  4      0 11911116 108248 3002348    0    0     0  1364 25138 114541 46 47  4  2  1  0
17  4      0 11910192 108248 3003972    0    0     0     0 27279 127432 46 48  2  4  0  0
11  4      0 11909492 108248 3005288    0    0     0     0 26417 123618 45 48  5  2  0  0
17  4      0 11909184 108248 3006896    0    0     0     0 26561 124825 46 48  4  1  1  0
