procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 11937328 108216 2999364    0    0    56   771 7562   52  7  7 73 12  0  0
17  2      0 11936796 108216 3000876    0    0     0     0 25040 124367 39 54  4  3  0  0
19  3      0 11938052 108216 3002660    0    0     0     0 26085 122201 41 52  3  3  1  0
18  0      0 11951600 108216 2983076    0    0     0     0 24202 116297 46 48  3  2  0  0
15  0      0 11950428 108216 2984464    0    0     0     0 26100 125591 40 53  4  3  0  0
20  0      0 11950176 108216 2986196    0    0     0  1392 25905 122961 40 53  4  3  0  0
11  4      0 11947208 108216 2987868    0    0     0     0 25476 126003 40 52  4  3  0  0
14  0      0 11945892 108216 2989516    0    0     0     0 24774 124539 38 55  4  3  0  0
17  0      0 11944688 108216 2991240    0    0     0     0 23633 119221 40 53  3  3  0  0
18  3      0 11943680 108216 2993092    0    0     0     0 25212 125965 40 54  3  3  0  0
16  1      0 11940628 108216 2994720    0    0     0     8 24824 121417 39 53  4  2  1  0
19  0      0 11930268 108216 2996312    0    0     0     4 25427 124091 40 53  4  3  0  0
14  2      0 11927300 108216 2998024    0    0     0     0 24853 120214 41 52  4  3  1  0
18  0      0 11926320 108216 2999684    0    0     0     0 25994 122783 40 53  3  3  1  0
15  1      0 11925200 108220 3001628    0    0     0   132 26283 124652 40 52  4  3  0  0
17  2      0 11923716 108220 3003380    0    0     0 22832 23903 121082 40 53  4  3  0  0
24  0      0 11922008 108220 3004976    0    0     0   996 25580 126090 40 53  4  3  0  0
12  1      0 11920048 108220 3006524    0    0     0  2280 26164 123293 39 54  4  3  0  0
16  1      0 11918536 108220 3008376    0    0     0     0 23792 123418 41 53  4  2  0  0
16  0      0 11916268 108220 3010276    0    0     0     0 25091 125886 39 54  4  3  0  0
17  2      0 11912236 108220 3012080    0    0     0     0 26014 122024 40 52  4  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  1      0 11907084 108220 3013428    0    0     0     0 25452 119184 41 52  4  3  0  0
20  1      0 11886448 108220 3015332    0    0     0     0 24524 116293 40 53  4  3  0  0
18  0      0 11901556 108220 2993504    0    0     0     0 23107 109818 46 49  3  2  0  0
 6  4      0 11901192 108220 2995284    0    0     0     0 26266 123788 40 52  5  4  0  0
17  0      0 11899776 108220 2996812    0    0     0     0 22738 109357 37 51  4  3  5  0
13  1      0 11896388 108220 2998260    0    0     0     0 22820 111757 38 52  5  4  2  0
16  2      0 11885852 108220 2999964    0    0     0     0 22455 106080 40 52  4  3  1  0
19  0      0 11888332 108220 3001560    0    0     0     0 24061 118845 40 53  4  3  0  0
18  1      0 11889452 108220 3003192    0    0     0     0 23780 118142 40 51  5  3  1  0
 1  4      0 11887380 108220 3005088    0    0     0     0 25360 121697 40 51  4  4  0  0
