procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 11929836 108256 3018424    0    0    55   779 7759   55  8  8 73 12  0  0
14  4      0 11948096 108256 2991648    0    0     0  1820 22133 105794 55 41  0  4  0  0
12  4      0 11948732 108256 2992644    0    0     0     0 23819 128976 51 48  0  0  0  0
12  4      0 11949448 108256 2993788    0    0     0     0 26285 125397 50 46  2  2  1  0
13  4      0 11952336 108256 2994776    0    0     0     0 26079 132687 51 47  1  2  0  0
 6  4      0 11958980 108256 2995848    0    0     0 30940 26917 137108 50 49  0  1  0  0
15  4      0 11959376 108256 2997100    0    0     0     0 27303 131148 50 46  1  3  0  0
18  4      0 11958928 108256 2997948    0    0     0     0 26194 130882 51 46  1  1  0  0
13  4      0 11958228 108256 2999172    0    0     0     0 25045 119113 50 46  2  2  0  0
14  4      0 11957612 108256 3000300    0    0     0     0 24698 126879 51 47  1  1  0  0
17  4      0 11955932 108256 3001588    0    0     0  1324 25499 127307 49 49  1  1  0  0
14  4      0 11948152 108256 3002316    0    0     0     0 24369 109126 50 47  2  2  0  0
14  4      0 11946812 108256 3003172    0    0     0     0 23811 113795 51 48  1  1  0  0
10  4      0 11946812 108256 3004540    0    0     0  2824 24654 118580 48 48  2  2  0  0
15  4      0 11946812 108256 3005640    0    0     0     0 24782 127499 50 46  2  2  0  0
 8  4      0 11944292 108256 3006532    0    0     0     0 24374 123724 49 46  2  3  0  0
 9  4      0 11940624 108256 3007928    0    0     0    12 25492 135536 51 47  1  1  0  0
16  4      0 11938748 108256 3008964    0    0     0     0 24938 133329 52 46  1  1  0  0
11  4      0 11937852 108256 3010220    0    0     0  1044 22759 128822 52 47  0  1  0  0
11  4      0 11935472 108256 3011312    0    0     0     0 22660 122552 50 47  2  2  0  0
 8  4      0 11932196 108256 3012556    0    0     0     8 25524 127760 51 46  2  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  4      0 11959784 108256 2981980    0    0     0     0 23182 115516 57 42  0  1  0  0
18  4      0 11959828 108256 2983104    0    0     0     0 24562 122819 51 47  1  2  0  0
13  4      0 11959828 108256 2984184    0    0     0     0 23844 118466 52 45  2  2  0  0
 9  4      0 11958988 108264 2985448    0    0     0   140 25114 134882 52 48  0  0  0  0
 9  4      0 11957336 108264 2986468    0    0     0     0 24219 134684 50 49  0  1  0  0
 9  4      0 11956300 108264 2987572    0    0     0   136 25288 133906 51 48  0  1  0  0
16  4      0 11956104 108264 2988492    0    0     0     0 24265 128030 49 48  2  2  0  0
 9  4      0 11955852 108264 2989724    0    0     0     0 24618 131963 51 47  1  1  0  0
16  4      0 11955348 108264 2991004    0    0     0     0 23850 131538 52 47  1  0  0  0
 6  4      0 11955040 108264 2992236    0    0     0     0 25163 131967 51 48  1  0  0  0
