procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 11917668 108180 3002952    0    0    57   763 7363   49  7  7 74 12  0  0
19  4      0 11916660 108180 3004288    0    0     0     0 26884 123622 45 47  2  5  1  0
20  4      0 11918080 108180 3005884    0    0     0     0 25702 124470 45 49  3  3  0  0
15  4      0 11923500 108188 3007224    0    0     0  1928 24671 121363 44 49  3  3  1  0
15  4      0 11926652 108188 3008620    0    0     0     0 26971 129883 44 49  3  3  0  0
11  4      0 11942040 108188 2981624    0    0     0    88 20998 102193 52 43  3  2  0  0
20  4      0 11947496 108188 2983220    0    0     0  2356 25878 122070 44 49  4  3  1  0
13  4      0 11947496 108188 2984480    0    0     0     0 25156 121610 43 49  4  2  1  0
14  4      0 11948900 108188 2985984    0    0     0     0 25397 130231 45 49  4  1  0  0
12  4      0 11949728 108188 2987500    0    0     0     0 25625 123579 45 48  4  3  0  0
17  4      0 11949896 108188 2988908    0    0     0     0 25821 124523 45 48  5  2  1  0
14  4      0 11948216 108188 2990548    0    0     0     0 25050 121498 45 48  4  2  1  0
14  4      0 11947096 108188 2992028    0    0     0     0 24986 121616 45 49  5  1  1  0
12  4      0 11942280 108188 2993484    0    0     0     0 24915 119814 44 50  5  2  0  0
20  4      0 11941048 108188 2994780    0    0     0     0 26458 124855 46 49  4  1  1  0
19  4      0 11939424 108188 2996292    0    0     0     0 26558 124575 44 49  4  2  1  0
23  4      0 11938808 108188 2997652    0    0     0  2320 26855 126702 45 49  4  1  0  0
18  4      0 11936848 108188 2999288    0    0     0     0 25693 125259 45 50  4  2  0  0
16  4      0 11934300 108188 3000844    0    0     0     0 22974 115643 46 48  3  3  0  0
18  4      0 11933852 108188 3002440    0    0     0     0 25869 124529 44 50  4  3  0  0
15  4      0 11933600 108188 3003760    0    0     0 21392 25570 125662 46 49  3  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  4      0 11932900 108188 3005164    0    0     0     0 25923 127893 45 50  4  2  0  0
15  4      0 11931640 108188 3006632    0    0     0     0 25595 126639 44 50  4  2  0  0
20  4      0 11930100 108188 3008296    0    0     0     0 25968 121824 45 49  4  2  0  0
16  4      0 11913692 108188 3009912    0    0     0     0 25138 119805 45 48  4  3  1  0
11  4      0 11909100 108188 2989140    0    0     0     4 21367 104118 49 46  3  2  0  0
19  4      0 11909208 108188 2990776    0    0     0     0 26858 127421 47 47  4  1  1  0
18  4      0 11908372 108188 2992068    0    0     0     0 25042 117567 45 48  4  1  2  0
18  4      0 11907428 108188 2993652    0    0     0     0 25384 120998 44 49  5  2  0  0
16  4      0 11910040 108188 2995328    0    0     0     0 25694 126694 46 50  3  1  0  0
22  4      0 11910040 108188 2996840    0    0     0  1444 26206 124735 46 49  3  2  0  0
