procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  4      0 11940336 108356 2995048    0    0    54   790 8139   60  9  9 71 12  0  0
 8  3      0 11935404 108356 2996580    0    0     0 31840 26124 120538 39 52  5  4  0  0
13  2      0 11933640 108356 2998324    0    0     0     0 25999 123155 41 53  4  3  0  0
15  1      0 11932380 108356 3000076    0    0     0  2336 26152 123641 41 51  4  3  0  0
14  0      0 11932716 108356 3001716    0    0     0     0 21723 110808 39 51  5  3  2  0
13  1      0 11936956 108356 3003476    0    0     0     0 24979 122024 40 52  4  4  1  0
14  0      0 11934392 108356 3005236    0    0     0     0 25859 124409 41 52  4  3  0  0
18  1      0 11935860 108356 3006840    0    0     0     0 25352 120738 41 51  4  3  1  0
17  1      0 11932708 108356 3008524    0    0     0     0 26473 123631 40 51  5  3  1  0
21  2      0 11931700 108360 3010264    0    0     0   160 22801 115840 41 51  4  4  0  0
18  0      0 11926576 108360 3011988    0    0     0     0 26143 124650 41 53  4  3  0  0
18  1      0 11919100 108360 3013692    0    0     0     8 26321 124875 41 52  4  4  0  0
19  1      0 11912800 108360 3015376    0    0     0     0 27102 123804 39 53  5  3  0  0
24  0      0 11902020 108360 3017012    0    0     0     0 25120 116123 41 52  4  3  0  0
18  0      0 11899836 108360 3018680    0    0     0     0 23261 110923 41 52  4  3  0  0
17  0      0 11899344 108360 3020316    0    0     0     0 25920 120832 41 51  5  4  0  0
10  4      0 11875548 108360 3021820    0    0     0    28 23855 113089 42 52  3  3  0  0
16  1      0 11886376 108360 3023524    0    0     0    12 25573 122277 40 53  4  3  0  0
24  1      0 11923044 108360 2994288    0    0     0     0 20608 107020 48 45  3  3  0  0
18  0      0 11922400 108360 2995944    0    0     0     0 25113 121086 40 52  4  4  1  0
14  1      0 11922344 108360 2997564    0    0     0     0 23964 116657 39 53  5  4  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  0      0 11921840 108360 2999392    0    0     0     0 23358 121936 40 52  4  3  0  0
11  4      0 11918564 108360 3001140    0    0     0  3564 25498 124277 40 53  4  3  0  0
16  1      0 11912012 108360 3002784    0    0     0     0 26555 123849 40 52  5  3  0  0
16  1      0 11907728 108360 3004524    0    0     0     0 26179 121398 39 51  5  4  1  0
15  0      0 11905264 108360 3006292    0    0     0     0 26038 122931 40 52  4  3  1  0
20  1      0 11904956 108360 3007948    0    0     0     8 26319 123428 39 52  4  4  0  0
15  3      0 11903472 108360 3009644    0    0     0     0 26672 124544 40 53  4  3  0  0
17  1      0 11902240 108360 3011240    0    0     0  2280 27312 126184 41 52  4  3  0  0
17  1      0 11900280 108360 3013048    0    0     0     0 25230 121237 40 52  5  3  0  0
 7  3      0 11898712 108360 3014772    0    0     0     0 25422 121133 40 52  4  3  1  0
