procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  4      0 11936940 108308 2999716    0    0    54   788 7950   58  8  8 72 12  0  0
11  4      0 11936552 108308 3002668    0    0     0     8 26804 124304 44 49  4  3  0  0
15  4      0 11929628 108308 3005320    0    0     0     0 28798 131963 45 49  3  3  0  0
11  4      0 11933728 108308 3008808    0    0     0     0 25582 123656 44 50  3  3  0  0
16  4      0 11931760 108308 3011992    0    0     0     0 26744 127652 46 48  3  3  0  0
16  4      0 11930500 108308 3015124    0    0     0     0 25835 125517 44 49  3  4  0  0
10  4      0 11924732 108308 3018188    0    0     0    16 25201 120498 45 48  3  3  1  0
15  4      0 11917732 108308 3021060    0    0     0     0 26319 123199 45 48  3  3  0  0
 7  4      0 11916360 108308 3024240    0    0     0     0 24510 122267 45 49  3  3  0  0
16  4      0 11914036 108308 3027644    0    0     0     0 24326 121039 47 47  3  3  0  0
16  4      0 11948016 108308 2993648    0    0     0     0 22863 113717 51 45  2  3  0  0
11  4      0 11940680 108308 2996596    0    0     0     0 26909 127210 47 47  3  3  0  0
12  4      0 11936900 108308 2999884    0    0     0  5824 24102 122407 46 48  3  4  0  0
12  4      0 11921836 108308 3002872    0    0     0     0 26289 129316 45 49  3  3  0  0
18  4      0 11919344 108308 3006076    0    0     0     0 27448 128854 45 49  2  4  0  0
16  4      0 11915424 108308 3009076    0    0     0     0 26019 123870 43 49  3  5  1  0
12  4      0 11912792 108308 3012224    0    0     0     0 26541 127830 45 49  2  4  0  0
12  4      0 11906428 108308 3015324    0    0     0   868 25967 125592 45 49  2  4  0  0
16  4      0 11902592 108308 3018240    0    0     0     0 28122 128445 46 47  2  4  0  0
15  4      0 11901444 108308 3020540    0    0     0     0 27075 126410 49 46  2  3  0  0
19  4      0 11924176 108308 2993616    0    0     0     0 26109 116477 51 44  2  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  4      0 11916164 108308 2996480    0    0     0  1296 25928 122447 43 48  2  4  3  0
 8  4      0 11900932 108308 2999536    0    0     0     0 27317 124551 44 49  2  5  0  0
12  4      0 11898384 108308 3002700    0    0     0     0 27521 130693 45 49  2  4  1  0
18  4      0 11893932 108308 3005636    0    0     0     0 25468 128551 45 49  2  5  0  0
22  4      0 11888512 108308 3008868    0    0     0     0 26276 129581 47 48  2  3  0  0
15  4      0 11868240 108316 3011556    0    0     0   168 27913 128592 46 48  3  3  0  0
12  4      0 11856620 108316 3014780    0    0     0     0 28019 129964 43 50  3  4  0  0
14  4      0 11856396 108316 3017812    0    0     0     0 25823 121953 46 47  4  3  0  0
14  4      0 11855388 108316 3020368    0    0     0     0 25324 122024 48 47  4  2  0  0
 1  4      0 11881952 108316 2993472    0    0     0     0 22824 112235 50 44  4  1  0  0
