procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  4      0 11880896 108148 3027308    0    0    57   767 7257   47  7  7 75 12  0  0
12  4      0 11897756 108148 3000040    0    0     0     0 22435 101156 53 41  2  4  1  0
13  4      0 11907580 108148 3003152    0    0     0     0 26697 126916 45 49  2  4  0  0
 7  4      0 11913140 108148 3006052    0    0     0     0 26214 126754 44 49  2  5  0  0
 6  4      0 11912312 108148 3009324    0    0     0     0 28206 133155 45 49  3  4  0  0
 8  4      0 11913156 108148 3012144    0    0     0  1312 27602 126137 44 49  6  1  1  0
13  4      0 11909844 108160 3015364    0    0     0   188 26888 124819 45 47  4  3  0  0
 9  4      0 11903320 108160 3018560    0    0     0     0 25759 123626 44 49  4  3  0  0
14  4      0 11902228 108160 3021644    0    0     0     0 25952 127771 44 50  5  2  0  0
19  4      0 11899316 108160 3024796    0    0     0     0 27339 130500 45 48  5  1  0  0
15  4      0 11897832 108160 3027560    0    0     0   188 28440 134125 43 51  5  1  1  0
19  4      0 11931160 108160 2991420    0    0     0     0 22159 97838 55 40  3  2  0  0
16  4      0 11923768 108160 2994668    0    0     0     0 24772 124342 45 48  5  2  0  0
16  4      0 11910188 108160 2997376    0    0     0     0 24280 115570 47 46  4  2  1  0
15  4      0 11909040 108160 3000460    0    0     0     0 28145 131387 45 48  5  2  0  0
12  4      0 11904952 108160 3003652    0    0     0     0 26944 125933 44 50  5  2  0  0
17  4      0 11901536 108160 3006624    0    0     0     0 25771 125878 45 49  5  2  0  0
15  4      0 11899156 108172 3009820    0    0     0  1140 28243 130535 44 49  5  2  0  0
13  4      0 11896384 108172 3012516    0    0     0     4 25227 121195 45 51  2  2  0  0
18  4      0 11894424 108180 3015756    0    0     0    64 25237 119581 44 49  3  3  0  0
11  4      0 11892156 108180 3018636    0    0     0     4 26289 119049 44 48  3  3  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  4      0 11915920 108180 2991380    0    0     0     0 22496 102169 51 43  2  3  1  0
13  4      0 11913008 108180 2994148    0    0     0     0 23134 110700 43 44  5  3  4  0
 8  4      0 11909144 108180 2996724    0    0     0     0 26123 116116 43 47  4  4  4  0
13  4      0 11881592 108180 2999612    0    0     0     0 23319 110290 44 47  3  3  2  0
12  4      0 11846396 108180 3002484    0    0     0     0 25787 122179 43 48  3  4  2  0
11  4      0 11842420 108180 3005628    0    0     0     0 25793 129433 44 49  3  3  2  0
11  4      0 11839592 108180 3008560    0    0     0     0 23661 117150 43 46  3  4  3  0
12  4      0 11838332 108180 3011284    0    0     0     0 24931 116350 41 46  4  4  6  0
13  4      0 11838024 108180 3014504    0    0     0     0 29333 129597 45 48  4  3  1  0
 1  4      0 11842924 108180 3017616    0    0     0     0 23129 117379 43 48  4  4  2  0
