procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 11896496 108368 3012128    0    0    53   795 8232   62  9  9 70 12  0  0
14  4      0 11900244 108368 3015088    0    0     0    20 24264 123001 46 47  4  2  0  0
17  4      0 11932820 108368 2991572    0    0     0     0 24042 115375 52 44  3  1  0  0
 8  4      0 11935576 108368 2993056    0    0     0  2516 26519 123717 45 48  4  2  1  0
16  4      0 11938400 108368 2995988    0    0     0     0 22869 110360 41 44  2  4  8  0
16  4      0 11941400 108368 2998444    0    0     0     0 25444 111815 42 46  2  5  5  0
10  4      0 11940920 108368 3001236    0    0     0     0 25709 117695 45 47  2  4  3  0
18  4      0 11932436 108368 3004512    0    0     0     8 26486 124150 45 49  2  4  0  0
 7  4      0 11930356 108368 3007552    0    0     0     0 26242 126147 46 48  3  3  1  0
18  4      0 11928732 108368 3010656    0    0     0     0 26218 125743 46 48  4  2  1  0
15  4      0 11925636 108368 3013596    0    0     0     0 27007 124484 44 50  3  3  1  0
12  4      0 11922640 108368 3016792    0    0     0     0 22531 118846 43 49  3  3  1  0
11  4      0 11934312 108368 2990556    0    0     0     0 25242 121046 49 46  2  3  0  0
27  4      0 11922368 108368 2993364    0    0     0     0 26317 125333 47 47  4  3  0  0
14  4      0 11920436 108368 2996316    0    0     0     0 28322 127860 43 50  3  3  1  0
10  4      0 11917524 108368 2999544    0    0     0     0 26179 126629 45 48  3  4  0  0
16  4      0 11914444 108368 3002520    0    0     0     0 26503 126324 45 49  4  2  0  0
 7  4      0 11910412 108368 3005892    0    0     0     0 25185 125808 45 49  4  2  0  0
12  4      0 11908144 108368 3008676    0    0     0    12 27696 130469 45 48  4  2  0  0
12  4      0 11906548 108368 3011796    0    0     0     0 25816 126111 44 50  3  3  0  0
11  4      0 11904812 108368 3014948    0    0     0     0 24837 122559 46 47  3  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  4      0 11901452 108368 3018120    0    0     0     0 23822 122895 46 48  3  3  0  0
17  4      0 11907052 108368 3005072    0    0     0  1172 24771 116028 50 45  2  3  0  0
14  4      0 11903260 108376 2994488    0    0     0   144 26315 121222 48 47  3  3  0  0
15  4      0 11883716 108376 2997560    0    0     0  3144 26966 127821 46 48  3  3  0  0
10  4      0 11857788 108376 3000604    0    0     0     0 26082 129231 44 50  4  2  0  0
18  4      0 11855604 108376 3003752    0    0     0     0 27703 131991 46 49  4  1  0  0
12  4      0 11852636 108376 3006908    0    0     0     4 26004 125885 46 48  5  1  0  0
16  4      0 11851712 108376 3010044    0    0     0     0 27653 130654 43 51  4  2  1  0
17  4      0 11845664 108376 3012968    0    0     0   868 27121 127957 45 49  4  2  0  0
 1  4      0 11845720 108376 3015784    0    0     0     0 26907 120333 45 49  4  2  0  0
