procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4      0 11909144 108428 3018104    0    0    52   796 8570   67 10 10 69 12  0  0
 5  4      0 11905676 108428 3018884    0    0     0     0 24884 129018 49 49  0  2  0  0
14  4      0 11901840 108428 3020020    0    0     0     0 24461 127822 51 47  1  1  0  0
18  4      0 11899040 108428 3021056    0    0     0     0 25068 125804 51 46  2  0  0  0
 9  4      0 11895748 108428 3022584    0    0     0     0 27704 135070 49 47  2  2  0  0
14  4      0 11893144 108428 3023756    0    0     0     0 22109 124854 51 49  1  0  0  0
14  4      0 11891576 108428 3024768    0    0     0     0 23264 127677 52 48  1  0  0  0
12  4      0 11905260 108428 3010156    0    0     0  2004 23677 120263 56 43  0  0  0  0
17  4      0 11910412 108428 2995716    0    0     0     0 22688 123115 51 48  2  0  0  0
12  4      0 11909572 108428 2996776    0    0     0     0 24814 131717 51 48  1  1  0  0
11  4      0 11908816 108428 2998112    0    0     0     0 24453 134395 51 49  0  0  0  0
15  4      0 11908816 108428 2998900    0    0     0 30584 24956 131592 52 47  1  0  0  0
17  4      0 11907668 108428 3000180    0    0     0     0 23889 125702 51 48  1  0  0  0
14  4      0 11907108 108428 3001576    0    0     0     0 25564 129102 50 49  1  0  0  0
 9  4      0 11906548 108428 3002240    0    0     0     0 24745 130928 52 48  0  0  0  0
13  4      0 11903540 108428 3003500    0    0     0     0 24819 122297 51 48  1  0  0  0
 9  4      0 11901184 108428 3004516    0    0     0  1076 24333 126233 51 49  0  0  0  0
13  4      0 11899588 108428 3005492    0    0     0    12 24987 126177 52 48  0  0  0  0
13  4      0 11896928 108432 3006648    0    0     0   132 24337 123422 52 47  0  1  0  0
12  4      0 11894828 108432 3007592    0    0     0     0 23724 118580 52 46  2  0  0  0
11  4      0 11888772 108432 3008668    0    0     0     0 23442 115846 52 47  1  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  4      0 11887960 108432 3009776    0    0     0  1388 21432 112485 53 46  1  0  0  0
12  4      0 11887008 108432 3010804    0    0     0     0 23506 120820 51 48  1  1  0  0
19  4      0 11885104 108432 3011904    0    0     0     0 23788 116963 53 45  1  0  0  0
11  4      0 11883480 108432 3013060    0    0     0     0 25510 133363 51 48  1  0  0  0
14  4      0 11881968 108432 3014068    0    0     0     0 23537 124145 51 48  2  0  0  0
12  4      0 11881100 108432 3015268    0    0     0     8 23811 127590 51 49  0  0  0  0
10  4      0 11908680 108432 2985672    0    0     0     0 22989 121870 58 42  0  0  0  0
10  4      0 11908868 108432 2986816    0    0     0     0 24971 131334 53 46  1  0  0  0
11  4      0 11908868 108432 2987848    0    0     0     0 24841 133514 50 50  0  0  0  0
 7  4      0 11903156 108432 2989048    0    0     0     0 22267 115314 52 47  1  0  0  0
