procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  4      0 11945060 108208 3007548    0    0    56   768 7464   50  7  7 74 12  0  0
10  4      0 11943868 108208 3008332    0    0     0     0 25246 128762 49 48  0  3  0  0
23  4      0 11943420 108208 3009568    0    0     0     0 24101 129503 52 47  0  1  0  0
15  4      0 11942412 108208 3010676    0    0     0     0 25395 130907 49 47  1  3  0  0
14  4      0 11942104 108208 3011540    0    0     0     0 24656 132487 50 49  0  1  0  0
17  4      0 11940424 108208 3012980    0    0     0     0 25783 132288 51 46  1  2  0  0
12  4      0 11939584 108208 3013964    0    0     0     0 25037 133250 52 47  0  0  0  0
14  4      0 11937376 108208 3015188    0    0     0     0 24854 129110 50 47  1  2  0  0
19  4      0 11936816 108208 3016368    0    0     0     0 24058 117331 51 45  1  3  0  0
13  4      0 11961176 108208 2987796    0    0     0     0 21900 101378 56 40  2  2  0  0
11  4      0 11966080 108208 2988668    0    0     0 27964 22936 115748 52 45  2  1  0  0
14  4      0 11966548 108208 2989988    0    0     0  1740 23680 116533 49 47  1  2  0  0
20  4      0 11961864 108208 2990484    0    0     0     0 25630 124897 50 47  2  2  0  0
 8  4      0 11960688 108208 2991864    0    0     0     0 25858 132820 52 46  2  1  0  0
11  4      0 11959468 108208 2993004    0    0     0     0 25408 131189 49 49  1  1  0  0
15  4      0 11958964 108208 2994124    0    0     0   720 22581 117360 53 45  1  1  0  0
11  4      0 11957172 108208 2995272    0    0     0    12 22654 115455 51 45  4  1  0  0
12  4      0 11954548 108208 2996052    0    0     0     0 25436 133198 52 47  1  0  0  0
 9  4      0 11952512 108208 2997372    0    0     0     0 24853 121144 51 46  2  1  1  0
17  4      0 11949060 108208 2998560    0    0     0     0 26225 128417 51 47  2  1  0  0
11  4      0 11946148 108208 2999420    0    0     0    36 25594 122373 51 46  2  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  4      0 11944496 108208 3000300    0    0     0     0 24896 126458 49 49  1  1  0  0
 8  4      0 11934676 108208 3001584    0    0     0     0 24340 120188 52 46  2  0  0  0
14  3      0 11930516 108208 3002724    0    0     0     0 23527 112375 49 48  2  1  0  0
11  4      0 11929788 108208 3003760    0    0     0     0 23324 114267 51 47  1  1  0  0
 9  4      0 11928892 108208 3004976    0    0     0    12 23090 123151 51 47  1  1  0  0
16  4      0 11929200 108208 3005836    0    0     0     0 25402 134869 51 48  0  0  1  0
12  4      0 11928976 108208 3006812    0    0     0  3808 25817 128653 51 47  1  0  0  0
11  4      0 11927408 108208 3007868    0    0     0     0 24964 120640 50 46  2  1  1  0
11  4      0 11966456 108208 2981100    0    0     0     0 22308 107823 58 41  1  0  0  0
16  4      0 11964480 108216 2982044    0    0     0   148 25441 122481 50 48  3  0  0  0
