procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  4      0 11899232 109512 2995076    0    0    43   893 11624  104 15 15 57 12  0  0
18  4      0 11894380 109512 2996512    0    0     0     0 25234 117252 46 48  3  4  0  0
18  4      0 11888016 109512 2997860    0    0     0     0 24441 122369 45 49  3  3  0  0
16  4      0 11886728 109512 2999312    0    0     0    32 26791 133083 46 48  3  3  0  0
16  4      0 11884408 109512 3001068    0    0     0     0 25461 125344 46 48  3  3  0  0
17  4      0 11882812 109536 3002436    0    0     0   920 26067 130000 46 49  2  4  0  0
18  4      0 11876652 109536 3004132    0    0     0  2008 25282 122602 46 48  2  5  0  0
10  4      0 11869960 109544 3005676    0    0     0    56 26711 125748 46 48  2  3  0  0
17  4      0 11867944 109544 3007236    0    0     0     0 26907 126967 45 49  0  6  0  0
17  4      0 11864836 109544 3008532    0    0     0     0 25530 124421 45 50  0  6  0  0
18  4      0 11862820 109544 3010184    0    0     0     0 27886 132363 46 49  3  3  0  0
14  4      0 11859432 109544 3011708    0    0     0     0 26381 125361 47 48  4  2  0  0
10  4      0 11845992 109544 3013252    0    0     0     0 24971 123018 46 49  4  1  0  0
18  4      0 11842856 109544 3014836    0    0     0     0 25462 126012 47 47  5  1  0  0
17  4      0 11842524 109544 3016336    0    0     0     0 26408 128094 47 48  4  2  0  0
21  4      0 11840856 109544 3017984    0    0     0     0 25828 125618 45 48  4  2  0  0
14  4      0 11839236 109544 3019632    0    0     0     0 25558 126631 47 48  2  3  0  0
10  4      0 11837484 109544 3021140    0    0     0     0 26156 126282 46 48  4  2  0  0
13  4      0 11835608 109544 3022684    0    0     0     8 26688 127252 45 49  5  2  0  0
17  4      0 11835880 109544 3024184    0    0     0     0 25994 129894 46 49  3  2  0  0
16  4      0 11831280 109544 3025524    0    0     0     0 26467 125799 46 48  5  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
