procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  4      0 11878624 109344 3008316    0    0    44   877 11166   98 15 14 59 12  0  0
14  4      0 11838616 109344 3009416    0    0     0    16 22130 110318 52 43  3  1  0  0
17  4      0 11846488 109344 3010932    0    0     0     8 25192 127623 45 49  3  4  0  0
15  4      0 11835204 109344 3012400    0    0     0     4 24435 116614 47 47  4  2  0  0
12  4      0 11841448 109344 3013788    0    0     0    12 24606 118356 50 46  3  1  0  0
15  4      0 11846220 109344 3015292    0    0     0     0 25657 126666 45 50  3  3  0  0
15  4      0 11847660 109344 3016576    0    0     0    16 24098 117942 49 47  2  2  0  0
20  4      0 11845728 109344 3018204    0    0     0     8 25673 127325 44 50  3  3  0  0
17  4      0 11828772 109344 3019608    0    0     0     4 24038 116809 48 48  3  1  0  0
13  4      0 11827616 109344 3021124    0    0     0    12 23882 121055 46 50  3  1  0  0
12  4      0 11833068 109344 3022556    0    0     0     0 25123 123257 47 48  4  1  0  0
31  4      0 11828280 109352 3023852    0    0     0   192 23652 114106 50 45  4  0  1  0
19  4      0 11830216 109352 3025344    0    0     0     0 26263 130069 45 50  4  1  0  0
25  4      0 11800840 109352 3026872    0    0     0    24 25292 124957 49 46  4  0  0  0
18  4      0 11800168 109352 3028324    0    0     0     0 25518 127776 47 48  4  1  0  0
19  4      0 11800168 109352 3029844    0    0     0     0 25979 127241 45 51  4  1  0  0
18  4      0 11785488 109352 3031264    0    0     0  8080 24703 117808 50 47  3  1  0  0
18  4      0 11787300 109352 3032728    0    0     0     0 26948 130589 45 50  3  2  0  0
16  4      0 11804224 109352 3034128    0    0     0    16 22906 113857 50 45  3  2  0  0
 9  4      0 11804284 109352 3035620    0    0     0     0 24202 124106 48 47  4  1  0  0
17  4      0 11838776 109352 3003656    0    0     0     4 21032 104156 53 43  2  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  4      0 11827236 109352 3004740    0    0     0 38872 24180 110766 51 45  3  1  0  0
 8  4      0 11827208 109352 3006232    0    0     0     0 25856 124657 46 49  5  1  0  0
23  5      0 11815232 109372 3007464    0    0     0   520 22284 103004 49 48  2  1  0  0
11  4      0 11816904 109380 3008900    0    0     0   460 26432 125124 48 47  2  3  0  0
11  4      0 11804056 109380 3010352    0    0     0     4 25533 122508 47 49  3  2  0  0
20  4      0 11798512 109388 3011712    0    0     0   132 25243 117468 49 46  3  2  0  0
14  4      0 11797000 109388 3013072    0    0     0     0 26468 126871 47 48  4  1  0  0
14  4      0 11778688 109388 3014464    0    0     0    16 23450 112805 51 46  2  1  0  0
 8  4      0 11783512 109388 3015856    0    0     0     0 24987 123767 46 49  3  2  0  0
15  4      0 11776424 109388 3017224    0    0     0    16 24399 119159 49 47  3  1  0  0
15  4      0 11778932 109388 3018760    0    0     0  2924 24682 125601 45 51  3  1  0  0
16  4      0 11784968 109388 3020392    0    0     0     0 24869 130495 46 49  3  1  0  0
14  4      0 11783584 109388 3021740    0    0     0    28 23448 116077 51 46  3  1  0  0
12  4      0 11792544 109388 3023408    0    0     0     0 25576 127271 47 49  3  2  0  0
11  4      0 11788952 109388 3024824    0    0     0    16 24093 120051 49 48  3  1  0  0
16  4      0 11790060 109388 3026316    0    0     0   152 26237 127615 46 49  4  1  0  0
18  4      0 11791660 109388 3027904    0    0     0     4 24769 124343 48 48  3  1  0  0
13  4      0 11777940 109388 3029248    0    0     0    12 23190 115690 50 47  2  1  0  0
20  4      0 11785452 109388 3030800    0    0     0     0 23267 123709 45 51  3  1  0  0
18  4      0 11816972 109388 3000084    0    0     0    16 20306 96647 58 40  2  1  0  0
23  4      0 11817208 109388 3001372    0    0     0     0 26184 123828 47 48  3  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  4      0 11816228 109388 3002916    0    0     0     4 26700 127751 46 50  3  1  0  0
17  4      0 11822556 109388 3004396    0    0     0    24 24470 120574 50 46  2  1  0  0
 7  4      0 11822332 109388 3005900    0    0     0     0 25318 128271 46 50  3  1  0  0
11  4      0 11800412 109388 3007340    0    0     0    16 23404 118993 50 46  2  2  0  0
18  4      0 11802544 109388 3008932    0    0     0     0 24912 125962 47 49  3  1  0  0
20  4      0 11796848 109388 3010528    0    0     0     4 24083 124953 44 51  3  1  0  0
