procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  4      0 11874244 109264 2992064    0    0    45   873 10937   95 14 14 60 12  0  0
15  4      0 11869032 109268 2993732    0    0     0   164 23230 107399 54 44  1  2  0  0
10  4      0 11850248 109268 2994052    0    0     0    28 24256 124508 51 48  0  0  0  0
15  4      0 11834512 109268 2994684    0    0     0    16 25896 125555 50 48  2  1  0  0
15  4      0 11836248 109268 2996048    0    0     0    12 24427 128615 52 47  1  1  0  0
10  4      0 11837160 109268 2996724    0    0     0    64 24714 120782 49 46  5  0  0  0
10  4      0 11810932 109268 2997856    0    0     0    16 23755 120576 52 45  1  1  0  0
15  4      0 11811320 109268 2999172    0    0     0     0 24799 128798 51 47  1  1  0  0
 9  4      0 11787780 109268 2999968    0    0     0    68 23540 116366 53 45  0  2  0  0
16  4      0 11817952 109268 3001164    0    0     0  2732 22804 111064 53 44  2  1  0  0
10  4      0 11816188 109268 3002360    0    0     0     4 25184 121278 49 46  4  1  0  0
10  4      0 11788736 109268 3003020    0    0     0    80 24615 117098 52 45  2  2  0  0
 8  4      0 11802096 109268 3004332    0    0     0     0 25606 124511 49 47  3  1  0  0
14  4      0 11803600 109268 3005444    0    0     0    16 24688 120690 53 44  2  1  0  0
13  4      0 11806944 109268 3006572    0    0     0     0 25437 123245 52 45  3  1  0  0
14  4      0 11830392 109268 3007592    0    0     0    64 23660 116098 50 47  2  1  0  0
15  4      0 11831504 109296 3008228    0    0     0  5696 22445 100615 57 39  2  2  0  0
20  4      0 11838864 109300 3009680    0    0     0   220 22239 111962 53 44  1  1  0  0
15  4      0 11816500 109308 3010592    0    0     0   172 21634 108528 53 44  2  1  0  0
16  4      0 11814184 109308 3011428    0    0     0     0 24201 123497 52 45  2  1  0  0
14  4      0 11813604 109308 3012868    0    0     0    12 24540 133310 51 47  1  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  4      0 11814352 109308 3013880    0    0     0    80 23001 105870 53 44  2  2  0  0
 9  4      0 11794496 109308 3014780    0    0     0  2716 24840 121288 50 48  2  0  0  0
14  4      0 11799216 109308 3015792    0    0     0    16 23000 112563 54 44  1  1  0  0
11  4      0 11799084 109308 3016784    0    0     0     0 24512 118969 52 46  1  1  0  0
12  4      0 11799124 109308 3017704    0    0     0    64 23051 116858 50 48  1  1  0  0
20  4      0 11779028 109308 3018704    0    0     0    16 22688 102257 53 43  2  2  0  0
14  4      0 11783720 109308 3019668    0    0     0   572 25044 120614 51 45  1  3  0  0
11  4      0 11769056 109308 3020800    0    0     0    80 23810 115039 53 43  2  2  0  0
10  4      0 11803316 109308 2998912    0    0     0     0 25064 115632 54 41  2  3  0  0
14  4      0 11809952 109308 2999976    0    0     0  2376 25158 121352 50 45  2  3  1  0
15  4      0 11800492 109308 3001028    0    0     0    76 23631 119589 55 43  0  2  0  0
13  4      0 11816840 109308 3002084    0    0     0 29492 24022 126009 48 50  1  1  0  0
19  4      0 11820304 109308 3003040    0    0     0    24 23535 114098 53 45  2  1  0  0
 8  4      0 11814640 109308 3004180    0    0     0     0 25768 127346 50 47  2  1  0  0
18  4      0 11781040 109308 3004932    0    0     0  1396 23178 117392 52 47  1  1  0  0
18  4      0 11801856 109308 3006088    0    0     0    12 22673 114413 54 44  1  2  0  0
