procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  4      0 11867180 109024 3006336    0    0    46   856 10447   89 13 13 62 12  0  0
 9  4      0 11847516 109032 3007132    0    0     0    76 22396 100215 53 43  1  3  0  0
13  4      0 11847208 109032 3008156    0    0     0   856 25255 127831 50 48  1  1  0  0
15  4      0 11828896 109032 3009256    0    0     0     0 24265 121213 54 44  0  2  0  0
15  4      0 11828640 109032 3010220    0    0     0    12 26986 127362 48 47  2  3  0  0
18  4      0 11827408 109032 3011360    0    0     0    24 25793 134632 51 47  0  2  0  0
18  4      0 11808240 109032 3012320    0    0     0     0 23166 112996 53 44  1  2  0  0
13  4      0 11817380 109032 3013584    0    0     0     0 26195 121591 50 45  2  3  0  0
18  4      0 11820152 109032 3014572    0    0     0     0 24496 116777 51 45  2  2  0  0
16  4      0 11836056 109032 3002576    0    0     0     0 23874 110474 52 44  1  3  0  0
17  4      0 11824412 109032 3003456    0    0     0  5680 22232 102839 51 44  1  3  1  0
17  4      0 11834284 109032 3004368    0    0     0    12 25885 116703 48 46  3  3  0  0
13  4      0 11839228 109032 3005360    0    0     0     0 27528 131272 50 47  2  1  0  0
14  4      0 11848784 109032 3006324    0    0     0     0 23520 103942 51 43  5  1  0  0
14  4      0 11848280 109032 3007392    0    0     0  3280 25701 132094 51 48  1  0  0  0
15  4      0 11847608 109032 3008460    0    0     0     4 23726 115809 53 44  1  2  0  0
13  4      0 11844476 109032 3009512    0    0     0     0 26076 126049 49 47  1  3  0  0
13  4      0 11827032 109032 3010640    0    0     0     0 25526 124174 51 46  1  3  0  0
16  4      0 11825004 109032 3011628    0    0     0     0 24557 113934 51 45  1  3  0  0
 9  4      0 11841532 109032 2998512    0    0     0     0 23442 114664 53 43  1  3  0  0
14  4      0 11822060 109032 2999384    0    0     0 11476 24572 114200 52 45  2  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  4      0 11823480 109032 3000568    0    0     0    12 25726 122484 52 43  3  1  0  0
17  4      0 11823268 109032 3001556    0    0     0  1268 22878 117003 53 45  1  1  0  0
13  4      0 11846924 109032 3002788    0    0     0     0 23583 114272 51 47  2  1  0  0
 9  4      0 11845832 109032 3003888    0    0     0  1296 25782 124454 50 46  3  2  0  0
15  4      0 11820072 109032 3004804    0    0     0    12 21573 100657 52 44  2  1  0  0
 5  4      0 11826112 109032 3005884    0    0     0     0 23626 121700 51 46  2  2  0  0
12  4      0 11816268 109032 3006796    0    0     0     0 22778 114493 52 46  1  1  0  0
13  4      0 11824084 109032 3007848    0    0     0     0 23853 118917 50 47  2  0  0  0
24  4      0 11816584 109032 3008856    0    0     0     0 23061 108076 52 44  4  0  0  0
14  4      0 11814120 109036 3009952    0    0     0  4584 23040 111915 54 43  3  0  0  0
16  4      0 11817016 109036 3011172    0    0     0     0 24658 126360 51 46  2  1  0  0
11  4      0 11816712 109036 3012040    0    0     0     0 23282 110985 51 46  2  1  0  0
12  4      0 11821436 109044 3013244    0    0     0  4484 24767 124035 51 46  2  1  0  0
14  4      0 11811832 109048 3014360    0    0     0    40 20362 103428 53 44  2  1  0  0
 9  4      0 11811268 109048 3015672    0    0     0   244 23509 133263 53 45  2  0  0  0
14  4      0 11792984 109048 3016672    0    0     0     0 25132 125366 52 45  2  1  0  0
12  4      0 11810108 109048 3017672    0    0     0     0 24913 121625 51 47  1  1  0  0
19  4      0 11809660 109048 3018944    0    0     0     0 26172 133270 50 49  1  1  0  0
13  3      0 11824720 109048 2994764    0    0     0     0 20932 97239 57 41  1  0  0  0
11  4      0 11824816 109048 2995808    0    0     0 15884 24250 124956 52 46  1  1  0  0
15  4      0 11806384 109048 2996896    0    0     0     0 25332 122871 53 45  1  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  4      0 11820836 109048 2997952    0    0     0     0 22918 113733 53 44  2  1  0  0
10  4      0 11821124 109048 2999176    0    0     0  1036 24394 120086 51 46  2  1  0  0
 7  4      0 11816184 109048 3000284    0    0     0     0 22594 108231 52 45  2  1  0  0
12  4      0 11817716 109048 3001392    0    0     0     0 25457 121358 52 45  3  1  0  0
14  4      0 11811276 109048 3002532    0    0     0     0 22189 110933 52 45  3  0  0  0
11  4      0 11810004 109048 3003480    0    0     0     8 23297 114060 50 46  4  0  0  0
12  4      0 11809888 109048 3004716    0    0     0     0 23362 118365 51 46  2  1  0  0
16  4      0 11803108 109048 3005568    0    0     0     0 24193 118609 54 44  2  0  0  0
16  4      0 11803800 109048 3006728    0    0     0     0 25593 132798 51 46  1  2  0  0
14  4      0 11799136 109048 3007788    0    0     0 10652 23050 112832 53 45  1  1  0  0
13  4      0 11799048 109048 3008756    0    0     0     0 23900 117508 51 46  1  2  0  0
11  4      0 11789040 109048 3009876    0    0     0  1140 24209 120158 53 46  0  1  0  0
19  4      0 11797572 109048 3010872    0    0     0     0 23228 119801 52 47  0  1  0  0
13  4      0 11797572 109048 3012088    0    0     0  1368 24288 121737 51 46  0  3  0  0
14  4      0 11793628 109048 3013056    0    0     0     8 24212 111397 53 43  0  4  0  0
11  4      0 11794816 109048 3013960    0    0     0    12 24410 123915 52 46  0  2  0  0
13  4      0 11773832 109048 3015076    0    0     0     0 22389 106351 52 45  1  3  0  0
20  4      0 11789048 109048 2989552    0    0     0     0 22298 111522 56 43  0  1  0  0
16  4      0 11785572 109048 2990628    0    0     0     0 22769 115472 51 46  0  3  0  0
 9  4      0 11783716 109048 2991716    0    0     0    28 21134 104591 54 44  0  2  0  0
 8  4      0 11788524 109048 2992896    0    0     0     0 23383 122830 50 47  1  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  4      0 11807424 109048 2993924    0    0     0     0 22279 116445 54 45  0  1  0  0
 8  4      0 11807916 109056 2995200    0    0     0   156 24385 121606 51 46  1  2  0  0
14  4      0 11794044 109056 2996216    0    0     0     0 24407 123661 53 46  1  0  0  0
14  4      0 11793920 109056 2997376    0    0     0     8 24192 116006 50 47  0  3  0  0
13  4      0 11794116 109056 2998380    0    0     0     0 23942 122871 50 48  1  1  0  0
16  4      0 11779084 109064 2999276    0    0     0  3936 23836 115846 52 46  0  1  0  0
17  4      0 11782584 109084 3000568    0    0     0   824 23874 119319 53 44  1  2  0  0
21  4      0 11764420 109084 3001532    0    0     0     0 22270 110634 54 45  1  0  0  0
18  4      0 11762236 109084 3002696    0    0     0 21408 22559 114074 49 48  1  1  0  0
16  4      0 11755244 109084 3003748    0    0     0     4 21632 106737 53 45  2  0  0  0
11  4      0 11782680 109084 3004644    0    0     0     0 23308 117474 51 47  2  1  0  0
13  4      0 11784052 109084 3005736    0    0     0  1960 22930 125338 52 47  1  0  0  0
 8  4      0 11769140 109084 3006688    0    0     0     0 22413 117194 54 46  1  0  0  0
16  4      0 11772032 109084 3007788    0    0     0    96 25152 125075 50 48  2  1  0  0
14  4      0 11748944 109084 3008684    0    0     0     0 23493 109921 54 44  1  0  0  0
13  4      0 11752320 109084 3009692    0    0     0     0 24667 119677 51 46  2  0  0  0
12  4      0 11776156 109084 2989124    0    0     0     0 23061 109669 56 42  2  0  0  0
10  4      0 11790604 109084 2990284    0    0     0     0 25078 122594 53 46  1  0  0  0
17  4      0 11789976 109084 2991144    0    0     0     0 25579 132347 51 48  1  0  0  0
17  4      0 11788796 109084 2992300    0    0     0     0 24053 118277 52 46  2  1  0  0
11  4      0 11789020 109084 2993500    0    0     0     0 23435 123851 51 46  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
27  4      0 11772844 109084 2994608    0    0     0     0 23331 118264 53 45  1  1  0  0
16  4      0 11793196 109084 2995676    0    0     0     0 23978 117145 51 47  2  0  0  0
17  4      0 11792468 109084 2996932    0    0     0  1576 24778 133795 50 48  2  0  0  0
15  4      0 11775244 109084 2998088    0    0     0     0 23473 115258 52 45  3  0  0  0
 6  4      0 11781284 109084 2999020    0    0     0     0 24430 127962 50 47  3  0  0  0
15  4      0 11776776 109084 2999992    0    0     0  2188 24111 116923 52 45  1  2  0  0
13  4      0 11781012 109084 3001112    0    0     0     0 24279 122919 50 48  1  1  0  0
17  0      0 11767376 109084 3002236    0    0     0     0 23735 123548 52 46  1  1  0  0
13  4      0 11758700 109084 3003276    0    0     0 24068 22593 116624 53 46  1  1  0  0
17  4      0 11757392 109084 3004580    0    0     0     0 22068 114506 51 47  1  1  0  0
17  4      0 11744304 109084 3005420    0    0     0     4 21236 107102 53 45  1  1  0  0
 9  4      0 11752592 109084 3006620    0    0     0     0 23842 124191 50 49  1  1  0  0
10  4      0 11746860 109084 3007528    0    0     0     0 22045 109572 53 44  2  2  0  0
11  4      0 11748572 109084 3008520    0    0     0    36 22361 115614 52 45  2  1  0  0
20  4      0 11747904 109084 3009656    0    0     0     0 24193 125933 51 47  1  1  0  0
 9  4      0 11771168 109092 2989340    0    0     0   156 21356 103089 56 43  1  0  0  0
 2  4      0 11752412 109092 2990660    0    0     0     0 23980 113359 51 45  3  2  0  0
