procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  4      0 11913056 108508 2991964    0    0    50   818 9086   73 10 11 67 12  0  0
20  4      0 11908568 108508 2993012    0    0     0     0 25485 122488 51 44  1  4  0  0
17  4      0 11907560 108508 2994172    0    0     0     0 24187 123837 51 46  1  2  0  0
 7  4      0 11906356 108508 2995256    0    0     0    12 23958 134437 52 47  0  1  0  0
13  4      0 11904368 108508 2996388    0    0     0     0 24078 123009 51 46  1  2  0  0
12  4      0 11902492 108508 2997500    0    0     0     0 25301 130462 50 47  1  1  0  0
13  4      0 11900840 108508 2998620    0    0     0  1468 23212 117399 52 45  2  2  0  0
 8  4      0 11899944 108520 2999740    0    0     0   636 25860 124431 49 46  2  3  0  0
 6  4      0 11898992 108520 3000772    0    0     0     0 27187 134503 52 45  2  1  0  0
10  4      0 11893748 108528 3001916    0    0     0    36 26012 134950 52 47  1  0  0  0
11  4      0 11885732 108528 3003084    0    0     0     0 24697 126652 51 46  2  1  0  0
 8  4      0 11881812 108528 3004116    0    0     0     0 25288 122838 50 45  3  3  0  0
15  4      0 11879320 108528 3005196    0    0     0     0 25695 133078 51 47  1  1  0  0
10  4      0 11877192 108528 3006204    0    0     0     0 25377 132016 54 44  1  1  0  0
 9  4      0 11875232 108528 3007296    0    0     0     0 26630 130516 49 48  2  2  0  0
18  4      0 11871060 108528 3008416    0    0     0     0 25986 130047 49 47  1  2  0  0
13  4      0 11869380 108528 3009464    0    0     0     0 26341 127855 50 46  3  1  0  0
12  4      0 11869380 108528 3010516    0    0     0     8 26719 129034 50 45  4  1  0  0
13  4      0 11868456 108528 3011636    0    0     0     0 25659 127369 50 46  3  1  0  0
12  4      0 11865268 108528 3012680    0    0     0     0 25406 124955 50 47  3  0  0  0
16  4      0 11864456 108528 3013844    0    0     0     0 25975 134408 51 47  2  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  4      0 11862804 108528 3014908    0    0     0     0 25985 127835 51 46  2  1  0  0
 8  4      0 11859668 108528 3016068    0    0     0  1820 24696 127865 53 45  2  1  0  0
 7  4      0 11857652 108528 3017244    0    0     0     0 25383 134398 51 47  1  1  0  0
 5  4      0 11857400 108528 3018368    0    0     0     0 25304 125531 51 45  3  1  0  0
11  4      0 11855636 108528 3019516    0    0     0     0 25218 130065 50 47  0  3  0  0
10  4      0 11849588 108528 3020644    0    0     0     0 25921 122597 49 46  3  2  0  0
16  4      0 11859396 108528 2996440    0    0     0 17484 22883 103846 53 43  2  3  0  0
12  4      0 11862512 108528 2997440    0    0     0     0 24639 113740 47 46  4  3  1  0
 9  4      0 11862388 108528 2998496    0    0     0     0 26716 125686 51 45  4  0  0  0
10  4      0 11861976 108528 2999588    0    0     0     0 26024 135337 50 47  3  1  0  0
17  4      0 11865564 108528 3000744    0    0     0     0 24934 127164 51 45  3  1  0  0
18  4      0 11860096 108528 3001860    0    0     0 15036 23499 118859 51 45  4  1  0  0
11  4      0 11856820 108528 3003024    0    0     0     0 24480 122635 51 45  3  1  0  0
11  4      0 11853800 108528 3004192    0    0     0     4 24312 121792 51 45  3  1  0  0
17  4      0 11850860 108528 3005368    0    0     0     0 22536 121574 52 45  2  1  0  0
