procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  4      0 11796972 108620 3009164    0    0     0    16 24986 119404 50 46  4  1  0  0
14  4      0 11818924 108620 3010840    0    0     0     0 25323 120550 46 47  5  2  0  0
21  4      0 11816964 108620 3011932    0    0     0  2472 26697 126806 45 49  4  2  0  0
16  4      0 11798412 108620 3013288    0    0     0    20 23426 113146 48 47  3  2  0  0
23  1      0 11797536 108620 3015028    0    0     0 10288 25327 127311 44 50  4  2  0  0
10  4      0 11764600 108620 3016136    0    0     0 17944 25701 117152 48 46  5  2  0  0
20  4      0 11757740 108620 3017464    0    0     0     0 23707 113096 46 48  4  1  0  0
19  4      0 11758576 108620 3018796    0    0     0     4 26073 120292 45 50  3  2  0  0
14  4      0 11777556 108620 3020476    0    0     0    12 24672 115449 47 47  3  3  0  0
13  4      0 11777556 108620 3021516    0    0     0     0 25121 120526 45 48  3  3  1  0
13  4      0 11818204 108620 2994632    0    0     0    16 21522 100218 56 40  2  1  0  0
16  4      0 11818088 108652 2995740    0    0     0  1928 25859 124658 45 49  4  2  0  0
14  4      0 11808332 108652 2997460    0    0     0     4 25475 123541 45 49  4  1  0  0
10  4      0 11800232 108652 2998920    0    0     0    12 24453 118834 48 48  3  2  0  0
17  4      0 11801768 108652 3000132    0    0     0     0 25840 128292 45 49  3  2  0  0
20  4      0 11794336 108652 3001732    0    0     0    16 24150 113717 50 45  2  4  0  0
19  4      0 11793944 108652 3003112    0    0     0  1248 25528 121230 45 49  2  5  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
20  4      0 11768728 108652 3004516    0    0     0     4 25013 119323 47 48  1  3  0  0
13  4      0 11779688 108652 3006052    0    0     0    12 25913 121250 48 46  3  3  0  0
14  4      0 11784516 108652 3007552    0    0     0     0 25455 120304 48 46  3  3  0  0
17  4      0 11787840 108652 3008756    0    0     0    24 24344 110662 50 45  3  2  0  0
13  4      0 11791476 108652 3010312    0    0     0     8 22872 116754 47 47  4  2  0  0
14  4      0 11775612 108652 3011716    0    0     0  2256 24126 114000 45 47  2  4  2  0
16  4      0 11782060 108652 3012948    0    0     0    12 24573 120629 46 48  3  3  0  0
16  4      0 11784480 108652 3014508    0    0     0     0 25073 123278 44 50  2  4  1  0
12  4      0 11778872 108652 3015636    0    0     0 27884 23526 113555 49 45  0  5  0  0
26  4      0 11777948 108652 3017120    0    0     0     0 25479 128750 45 49  0  6  0  0
12  4      0 11756444 108652 3018556    0    0     0    16 24664 117201 47 46  1  5  1  0
16  4      0 11751596 108652 3019840    0    0     0     0 25426 119959 46 48  1  5  1  0
11  4      0 11757208 108652 3021436    0    0     0     8 23353 114861 46 47  1  5  2  0
20  4      0 11776116 108652 2994488    0    0     0  1632 21285 101373 54 41  1  3  1  0
17  4      0 11775864 108652 2995920    0    0     0     0 25313 122366 46 48  1  5  1  0
20  4      0 11747992 108652 2997156    0    0     0    16 22592 113635 50 46  1  3  0  0
 3  4      0 11745716 108652 2998804    0    0     0     0 25003 120937 44 49  3  4  0  0
