procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  4      0 11788368 108952 3008964    0    0     0     0 25013 126913 51 48  1  1  0  0
15  4      0 11772052 108952 3009888    0    0     0     0 23184 113934 52 45  1  2  0  0
16  4      0 11771800 108952 3011000    0    0     0     0 24045 127244 51 48  0  0  0  0
14  4      0 11759080 108952 3011976    0    0     0     0 24126 124784 50 49  0  0  0  0
12  4      0 11772492 108952 3012884    0    0     0     0 22966 114814 52 46  1  1  0  0
19  4      0 11771988 108952 3014084    0    0     0  2620 23254 118157 52 45  2  1  0  0
21  4      0 11759972 108952 3015144    0    0     0     0 21880 106904 54 43  2  1  0  0
16  4      0 11761180 108952 3016284    0    0     0     0 22422 118911 52 44  2  2  0  0
14  4      0 11734552 108952 3017320    0    0     0     0 22899 115982 53 43  2  1  0  0
 9  4      0 11734300 108952 3018292    0    0     0     0 23767 122225 51 48  1  1  0  0
12  4      0 11737240 108952 3019464    0    0     0    12 25679 119964 52 46  1  1  0  0
 8  4      0 11744852 108952 3004748    0    0     0     0 21705 100756 60 39  1  1  0  0
14  4      0 11748396 108952 3005792    0    0     0     0 26313 127324 51 46  3  0  0  0
14  4      0 11763004 108952 3006808    0    0     0     0 24450 115963 52 45  3  0  0  0
10  4      0 11766772 108956 3007844    0    0     0   156 25887 125663 50 47  3  1  0  0
13  4      0 11761792 108956 3009004    0    0     0     0 25034 127692 52 46  1  1  0  0
 6  4      0 11752904 108956 3010012    0    0     0     0 23822 111958 52 46  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  4      0 11763080 108956 3011076    0    0     0     0 25865 125252 51 45  4  0  0  0
12  4      0 11767088 108968 3012108    0    0     0  1652 21895 106968 52 46  1  1  0  0
13  4      0 11769744 108988 3013208    0    0     0   840 23131 116766 51 46  2  1  0  0
26  4      0 11752040 108988 3014148    0    0     0     8 20465 100488 53 46  1  0  0  0
 9  4      0 11781972 108988 2999512    0    0     0     0 22261 107240 56 41  2  1  0  0
 7  4      0 11782168 108988 3000544    0    0     0     0 25644 130229 50 47  2  1  0  0
10  4      0 11783728 108988 3001472    0    0     0  2376 24197 110553 52 45  3  1  0  0
12  4      0 11784428 108988 3002604    0    0     0     0 25118 130590 50 48  2  0  0  0
 8  5      0 11786248 108988 3003508    0    0     0 22656 23555 113111 53 45  2  0  0  0
11  4      0 11786052 108988 3004796    0    0     0  3124 23906 118016 51 45  4  0  0  0
10  4      0 11767152 108988 3005840    0    0     0    12 24872 127066 53 46  2  0  0  0
15  4      0 11763180 108988 3006784    0    0     0     0 23496 118770 52 46  2  0  0  0
12  4      0 11761500 108988 3007936    0    0     0     0 23021 120218 52 46  2  1  0  0
10  4      0 11742848 108988 3008852    0    0     0  1384 22389 107780 53 45  2  0  0  0
12  4      0 11750220 108988 3009940    0    0     0     0 24398 124110 51 46  3  0  0  0
16  4      0 11749164 108988 3010904    0    0     0     0 22808 107496 53 44  3  0  0  0
 5  4      0 11725524 108988 3012060    0    0     0     0 23745 114188 51 45  4  1  0  0
