procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  4      0 11895776 108792 3003644    0    0    48   838 9941   83 12 12 64 12  0  0
22  4      0 11875964 108792 3004688    0    0     0     0 22985 106076 49 46  3  2  0  0
11  4      0 11873724 108792 3006092    0    0     0     0 24979 117668 45 49  3  3  0  0
21  4      0 11855328 108792 3007504    0    0     0    12 26431 119356 45 48  4  4  0  0
14  4      0 11847668 108792 3008832    0    0     0     0 23644 117239 48 47  3  3  0  0
16  4      0 11847892 108792 3010268    0    0     0     0 23303 119277 47 46  3  4  0  0
16  4      0 11857688 108792 3011664    0    0     0     0 21953 104458 49 45  3  2  0  0
20  4      0 11855044 108792 3013168    0    0     0    44 22991 116847 46 47  5  2  1  0
35  4      0 11843340 108796 3014472    0    0     0   180 24529 115034 48 46  5  1  0  0
12  4      0 11846508 108796 3015820    0    0     0     0 25909 116208 45 48  4  3  0  0
15  4      0 11846256 108796 3017276    0    0     0  3004 26955 127330 46 48  3  3  0  0
11  4      0 11847020 108796 3018512    0    0     0     0 23855 111777 48 46  4  2  0  0
14  4      0 11846768 108796 3019960    0    0     0 11904 25797 124470 45 50  3  2  0  0
10  4      0 11821160 108796 3021224    0    0     0     0 23440 112915 48 45  4  2  0  0
14  4      0 11823740 108796 3022740    0    0     0     0 25664 122735 46 48  2  4  0  0
18  4      0 11821124 108796 3024196    0    0     0  1328 25527 123309 49 46  2  3  0  0
18  4      0 11834968 108796 3025576    0    0     0     0 24385 116974 47 46  4  3  0  0
13  4      0 11834212 108796 3027188    0    0     0     4 24778 126472 46 49  3  2  0  0
13  4      0 11859232 108796 2998428    0    0     0  2420 20365 92855 55 41  4  1  0  0
15  4      0 11860756 108796 2999916    0    0     0     0 25966 129626 46 48  4  2  0  0
18  4      0 11866196 108796 3001236    0    0     0     0 23691 112682 50 46  3  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  4      0 11865944 108796 3002596    0    0     0     0 23388 118040 45 48  5  2  0  0
16  4      0 11858300 108812 3004056    0    0     0  2104 25613 118962 44 49  4  2  0  0
19  4      0 11840756 108816 3005396    0    0     0 30548 23793 114538 48 46  4  2  0  0
16  4      0 11838600 108816 3006844    0    0     0     0 24654 127107 45 48  5  1  0  0
12  4      0 11834392 108816 3008180    0    0     0     0 24143 115443 48 47  4  2  0  0
14  4      0 11832720 108816 3009648    0    0     0     0 24601 122350 46 48  3  3  0  0
16  4      0 11809272 108816 3010992    0    0     0     0 24089 119082 46 48  2  3  0  0
21  4      0 11805848 108816 3012472    0    0     0     8 25176 122588 46 48  4  3  0  0
14  4      0 11791656 108816 3013884    0    0     0     0 26693 126357 47 48  4  1  0  0
11  4      0 11788000 108816 3015236    0    0     0     0 23767 116257 49 45  3  2  0  0
10  4      0 11790280 108816 3016812    0    0     0     0 25521 127842 47 47  3  2  0  0
12  4      0 11793368 108816 3018072    0    0     0     0 23784 113786 47 46  3  4  0  0
15  4      0 11797028 108816 3019648    0    0     0    68 25186 124101 46 48  3  3  0  0
19  4      0 11790956 108816 3021004    0    0     0     8 23381 111266 48 46  2  4  0  0
11  4      0 11795772 108816 3022396    0    0     0     0 24819 118916 48 46  1  5  0  0
17  4      0 11800408 108816 3023940    0    0     0     0 25876 118659 45 48  4  3  0  0
24  4      0 11815448 108816 3025056    0    0     0     0 24792 113751 47 47  3  3  1  0
17  4      0 11831048 108816 2995820    0    0     0    68 23260 114100 51 45  3  2  0  0
15  4      0 11806124 108816 2997152    0    0     0     0 24702 113220 47 48  3  2  1  0
14  4      0 11806124 108816 2998684    0    0     0     0 25361 119819 46 48  5  2  0  0
16  4      0 11791116 108816 2999992    0    0     0     0 22356 106217 48 48  3  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  4      0 11811904 108816 3001248    0    0     0     8 25715 112597 45 48  5  1  0  0
20  4      0 11811904 108816 3002656    0    0     0  3268 25281 118625 45 48  6  1  0  0
14  4      0 11812336 108816 3004000    0    0     0     0 22362 105534 52 43  3  2  0  0
17  4      0 11813316 108816 3005508    0    0     0     0 25006 124887 46 49  4  1  0  0
21  4      0 11816136 108816 3006848    0    0     0  1384 24060 114083 47 47  4  3  0  0
14  4      0 11815684 108816 3008292    0    0     0     0 24910 119683 44 50  5  1  0  0
19  4      0 11815800 108816 3009748    0    0     0 13856 25976 126110 47 47  5  1  0  0
17  4      0 11790476 108840 3011064    0    0     0  4040 24316 114833 49 46  3  2  1  0
10  4      0 11790476 108840 3012336    0    0     0     0 21622 108211 42 45  5  2  7  0
15  4      0 11784576 108840 3013528    0    0     0     0 21040 97336 44 42  5  1  8  0
14  4      0 11784576 108840 3014944    0    0     0     0 25402 116772 43 47  4  3  3  0
13  4      0 11745040 108840 3016320    0    0     0 13864 24774 114646 47 46  4  3  0  0
13  4      0 11753104 108840 3017620    0    0     0     0 24821 115611 45 47  5  2  1  0
18  4      0 11752880 108840 3019068    0    0     0     0 26685 125153 44 49  4  2  1  0
